id,month-12,month-11,month-10,month-9,month-8,month-7,month-6,month-5,month-4,month-3,month-2,month-1
2,1,1,1,1,1,1,1,1,1,4,4,5
3,1,1,1,1,1,1,1,1,1,1,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4
8,4,4,4,4,4,4,4,4,4,4,4,4
16,1,1,1,1,1,1,1,1,1,1,1,1
19,3,4,4,4,4,4,4,4,4,4,4,4
20,1,1,1,1,1,1,1,1,1,1,1,5
25,1,1,1,1,1,1,1,1,1,3,3,3
27,4,4,4,4,4,4,4,4,4,4,4,4
30,4,1,1,1,3,3,3,3,3,3,3,3
37,1,1,1,1,1,1,1,1,1,1,1,4
43,1,3,4,4,3,3,3,3,4,4,4,4
44,1,1,1,1,1,1,1,1,1,1,1,4
49,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1,5
57,1,1,1,1,4,4,4,4,3,3,4,4
58,3,1,1,3,3,3,3,3,3,3,3,3
61,1,1,1,1,1,1,1,1,1,1,5,5
68,1,1,1,1,1,1,1,1,1,1,4,4
75,1,1,1,1,1,1,1,1,1,1,1,5
86,4,4,4,4,4,4,4,4,4,4,4,4
89,1,1,1,1,1,1,1,1,1,1,1,1
91,1,1,1,1,1,1,1,1,1,1,1,1
92,3,3,3,3,4,4,4,4,4,4,4,4
95,1,1,1,1,1,1,1,1,1,1,1,4
96,0,0,0,0,1,1,1,1,1,1,1,4
97,1,1,1,1,1,1,1,1,1,3,3,3
98,1,1,1,1,1,1,1,1,1,1,1,4
99,1,1,1,1,1,1,1,1,1,1,1,1
100,4,4,4,4,4,3,3,3,3,4,4,4
102,1,1,1,1,1,1,4,4,1,1,1,1
111,1,1,1,1,1,1,1,1,1,1,5,5
112,4,4,3,4,4,4,4,4,4,4,4,4
121,1,1,1,1,1,1,1,1,1,1,1,4
124,1,4,4,4,4,4,4,4,4,4,4,4
128,1,1,1,1,1,1,1,1,1,1,1,1
133,1,1,1,1,1,1,1,1,1,1,1,1
137,1,1,1,1,1,1,1,1,1,1,1,1
